subID,resp_rate_trial_mean,resp_rate_trial_std,resp_pairs_sum_std,RTs_first_resp_mean,RTs_first_resp_std,resp_pairs_sum_slope,resp_pairs_sum_spearman_corr,resp_time_diff_mean,resp_time_diff_std,volatility,gold_vs_silver,run_burstiness,devaluation_ratio
2,2.062222222222222,0.46493505896361265,0.7581002897920013,1.7224,1.122207764483327,0.28444444444444444,0.19999999999999998,0.4731525054466231,0.21767823304098316,0.07882488986784142,0.4088888888888891,-0.3700425244739511,0.5094850948509485
6,3.122222222222222,0.7572421263110514,1.4381915942350643,1.5312999999999999,0.7461909273101623,0.7488888888888892,0.7999999999999999,0.3123677419354839,0.3334012519442333,0.08391335740072202,-0.5555555555555558,0.03239217373762035,0.4992017030335284
7,1.9844444444444442,0.8110383867279204,0.8073122607886944,2.7527999999999997,2.61765432740417,0.01111111111111139,-0.19999999999999998,0.4536024915062288,0.5460485507831511,0.2715784650630011,-0.11111111111111094,0.09219745953494723,0.950354609929078
8,2.6733333333333333,0.3978060545849848,0.4834546463337883,1.7762999999999998,0.9994981018268896,-0.09999999999999985,-0.3,0.3633629505448449,0.2201482452071718,0.09672950126796281,0.013333333333333197,-0.245633093036988,0.8683127572016461
9,1.7044444444444444,0.4922499504493842,0.673226980966475,1.3541999999999998,0.7092776920532919,-0.2377777777777779,-0.7999999999999999,0.5766750330250991,0.3910277193826048,0.15330120481927711,0.04888888888888854,-0.19216161158647074,0.6307692307692307
12,1.9511111111111112,0.5837112238658265,0.9163265362236621,1.5268000000000002,0.7671808131073143,0.5444444444444445,0.8999999999999998,0.5025702764976958,0.32318027277636163,0.15165850815850815,0.34666666666666646,-0.21751935517251522,0.4827586206896552
20,2.551111111111111,0.7551051671410232,1.1323089051977486,1.2865000000000002,0.5680485601307926,0.617777777777778,0.8999999999999998,0.3853444639718805,0.3234619800969969,0.14870124113475178,0.10666666666666647,-0.08752329450858763,0.8990384615384616
22,2.6977777777777776,0.6557292090569286,1.3605917376432983,0.9927999999999999,0.19814237305533614,0.41555555555555557,0.0,0.3674975083056478,0.32177865901415076,0.12463819095477388,0.09777777777777841,-0.06653559366774035,0.4472727272727272
23,2.162222222222222,0.4729210515378379,0.7035360424050521,2.5608000000000004,2.1387541960475756,0.29111111111111115,0.49999999999999994,0.44179854620976117,0.3869575136605331,0.17207345225603357,-0.13777777777777755,-0.06643130622883166,0.8818565400843882
26,1.6266666666666665,0.30788450259961947,0.594335400175048,1.6237,0.32894411886114233,-0.3622222222222223,-0.8999999999999998,0.6049612188365651,0.45193942206050364,0.2978455056179775,-0.0711111111111109,-0.1451227415416089,0.5882352941176471
28,0.9666666666666666,0.8622075854682314,1.700762356295727,2.559,2.5728205879496877,-0.8822222222222225,-0.6,0.9901976470588234,1.2099034475332904,0.4231927710843373,0.0311111111111112,0.09927859444596417,1.0
