oldSubID,newID,group,site,pre_val,pre_deval,post_val,post_deval,CHANGE_SCORE
101,178,1-day,Caltech2,0.0250424127846708,0.15635167633896,0.100175601054255,0.0166663433754625,0.214818521233082
102,179,1-day,Caltech2,2.74229794843755,2.55134238297825,2.96569695891794,1.3824797277881,1.39226166567054
103,180,1-day,Caltech2,0.527613543108736,0.558218609123522,2.54402399600015,1.73769127234524,0.836937789669695
104,181,1-day,Caltech2,0.807363487679403,0.70857918566891,2.1881368729459,1.23113936485262,0.858213206082794
105,182,1-day,Caltech2,0.0249492390627833,1.1709226310202,1.42901867993986,0.600078781199105,1.97491329069818
106,183,1-day,Caltech2,2.16134951074419,1.66852665598829,3.48758693013852,2.62958343843586,0.365180636946769
107,184,1-day,Caltech2,2.51500356405512,1.84287855544726,4.00164259664041,2.76612165967885,0.563395928353705
109,185,1-day,Caltech2,0.037511133698467,0.0624996207693544,0.166726468448191,0.150015513469558,0.0416994420495204
110,186,1-day,Caltech2,2.33078806465639,4.06269449419537,2.61068209378006,1.09928444862799,3.24330407469105
113,187,1-day,Caltech2,0.389506816025066,2.91952926863703,2.93167711556914,4.43744567621388,1.02425389196723
114,188,1-day,Caltech2,1.96136320480364,3.13759298884627,3.25897810176854,3.07267037250233,1.36253751330884
115,189,1-day,Caltech2,3.84738347454935,1.77580246026483,3.69192199002878,3.05187701565332,-1.43153603990906
116,190,1-day,Caltech2,3.7062271429083,2.94435313332842,4.39382275735355,3.24716846015007,0.384780287623597
117,191,1-day,Caltech2,1.45820279923256,1.34003120563014,1.42240575566252,1.61304790254349,-0.308813740483388
120,192,1-day,Caltech2,2.15626310208886,3.80519092963669,3.23499148036228,1.03334217202198,3.85057713588814
121,193,1-day,Caltech2,3.41309766654056,1.63355780141346,2.67912996942045,1.23642015216127,-0.33683004786792
122,194,1-day,Caltech2,2.02864234547577,0.01250161514545,3.3913849501773,0.55084206331372,0.824402156533259
123,195,1-day,Caltech2,5.3278882281753,4.48401659773163,5.69829139260046,2.69873210445973,2.15568765769706
124,196,1-day,Caltech2,1.04978196679533,0.550463644089088,2.21455881772989,1.56678039096495,0.148460104058698
125,197,1-day,Caltech2,0.0498393483849306,0.0435908212814614,0.0666559179491858,0.4834317261934,-0.423024335347683
126,198,1-day,Caltech2,3.50250019412171,1.63575220240594,4.29975595474163,2.42711001260581,0.00589795042004337
130,199,1-day,Caltech2,5.23326444953024,4.58526772813165,4.58320964507515,4.61813603872244,-0.682923115045877
131,200,1-day,Caltech2,5.66562429468292,5.15531184952818,5.92700791311723,5.6827584026179,-0.266062934655411
132,201,1-day,Caltech2,4.99845233481794,5.28981661831575,5.54389369143749,5.63148631480442,0.203771660130881
133,202,1-day,Caltech2,4.68699167267811,4.39909872327897,5.10446428094776,4.19461427845899,0.621957053089633
134,203,1-day,Caltech2,2.09329939938728,2.2961236847444,2.12690524009835,1.20086667174574,1.12886285370973
135,204,1-day,Caltech2,4.97075051185259,5.60658156538543,5.99152480309473,5.74797264080615,0.879383215821424
136,205,1-day,Caltech2,5.24594538945887,5.5051600400233,5.70745947847976,5.72991830914007,0.236755819904112
137,206,1-day,Caltech2,1.02399336728217,2.40489962487426,0.966750668150055,0.750490158562247,1.59716676717991
138,207,1-day,Caltech2,4.72657789849469,4.61582645993199,4.74259214467503,4.68582461490787,-0.0539839087955416
301,208,3-day,Caltech2,0.112062471266132,0.0937642939642214,0.23338899597331,0.133411451943806,0.0816793667275923
303,209,3-day,Caltech2,3.03627342672905,3.48886882904716,3.59702936370079,3.88351367702081,0.166111088998091
304,210,3-day,Caltech2,4.17313963327455,3.69801452570725,4.14887567664882,0.383840840994671,3.28990972808686
305,211,3-day,Caltech2,3.45168897139353,4.50991856218309,0.233217600008621,0,1.29144719079818
306,212,3-day,Caltech2,3.71463719030894,3.09329000402282,3.85954426440748,3.57848110288821,-0.340284024766851
307,213,3-day,Caltech2,0.381416579895131,0.243755437173859,1.45117148789205,0.583761255079724,0.729749090091051
