oldSubID,newID,group,site,pre_val,pre_deval,post_val,post_deval,CHANGE_SCORE
1,238,1-day,Sydney,4.61408474301858,4.43651549066813,4.92482445858548,4.77542834243747,-0.0281731362024367
4,239,1-day,Sydney,1.68295323605739,1.81958078037634,1.26501042175908,0.450747629701626,0.950890336376405
5,240,1-day,Sydney,1.00032691943028,0.973626799878028,0.815028359959735,0.85005745919716,-0.061729218789679
6,241,1-day,Sydney,2.90013632192506,2.41598530400995,4.096137029882,0.481524680240942,3.13046133172595
7,242,1-day,Sydney,0.136336238824929,0.641522312538037,2.02912133853991,0,2.53430741225302
8,243,1-day,Sydney,6.18654792155258,6.09863417535057,6.20603479158475,3.49311409331467,2.62500695206808
9,244,1-day,Sydney,0.0792246126750779,0.561655773654127,1.98416044354177,0.0501182125845416,2.41647339193628
10,245,1-day,Sydney,0.0749944692614195,0.0792021720072019,0.716988218054103,0.0166475089929329,0.704548411806953
11,246,1-day,Sydney,2.02322473990641,1.40750436073228,3.23343825478231,2.61356756586231,0.00415030974585995
14,247,1-day,Sydney,4.06232673204288,3.89777944766867,4.9927004936892,4.75912760921065,0.0690256001043381
16,248,1-day,Sydney,3.73076058719268,3.78148962859388,2.98710933910635,3.3817425605863,-0.343904180078749
18,249,1-day,Sydney,0.973499677374032,0.470182071712372,1.11420490254452,0.0500840699803176,0.560803226902546
20,250,1-day,Sydney,0.337600953645679,0.337376072589534,0.484093357768002,0.133059777033959,0.350808699677897
22,251,1-day,Sydney,1.6942056356488,1.68418098272659,2.91344575052387,2.81256904333698,0.0908520542646911
23,252,1-day,Sydney,3.75982821923741,3.49734175622881,4.37924576915392,0.55047306630171,3.56628623984361
24,253,1-day,Sydney,0.422613742831392,0.462475798968639,2.25463985937223,2.63259585612178,-0.338093940612303
25,254,1-day,Sydney,2.00113684243704,3.07032744164969,2.88059567774159,1.91585249702818,2.03393377992604
26,255,1-day,Sydney,3.30476595000662,3.04655294743753,0.0166184541096084,0,-0.241594548459482
27,256,1-day,Sydney,2.96745119000385,3.68700246172526,3.94107810742527,2.5041113057856,2.15651807336107
28,257,1-day,Sydney,3.02123239015995,1.39790789149708,3.73395775371827,2.08485999328439,0.0257732617710127
29,258,1-day,Sydney,0.474689311162379,0.734588348877241,4.46294216310652,0,4.72284120082139
31,259,1-day,Sydney,4.80545373058014,4.58620301706739,5.3986295971446,3.36962721982966,1.80975166380219
33,260,1-day,Sydney,1.59719450704889,4.47186623346984,0.533651551414141,0.649412501858,2.75891077597709
35,261,1-day,Sydney,4.18880901047516,4.17598925957711,3.76539398758869,0.452532260073785,3.30004197661685
36,262,1-day,Sydney,3.40044358385469,2.9031220239261,1.0686530046358,1.13583939919854,-0.564507954491333
37,263,1-day,Sydney,0.56617759562511,0.600508678554922,4.39433302949763,3.03915734526479,1.38950676716265
38,264,1-day,Sydney,0.512494666976501,0.141650709696815,2.62708262704189,0.0167072304001257,2.23953143936208
39,265,1-day,Sydney,0.792869623255157,1.20101939843379,0.433500238300145,0.233471205972368,0.608178807506406
40,266,1-day,Sydney,0.324835373274422,0.283560804463781,1.47687847132674,2.07316820583405,-0.637564303317944
