oldSubID,newID,group,site,pre_val,pre_deval,post_val,post_deval,CHANGE_SCORE
6,113,1-day,Hamburg,0.138018098944913,0.161241273412457,0.150169194212626,0.0499159072397614,0.123476461440409
7,114,1-day,Hamburg,4.86318332904217,2.19522082651839,6.10473533911127,0,3.4367728365875
8,115,1-day,Hamburg,1.63485020930316,1.83099890665576,0.0166481408758947,0.0166303289125396,0.196166509315959
9,116,1-day,Hamburg,4.36367273024395,4.48154300953911,4.18461498836962,0.566113083031724,3.73637218463305
10,117,3-day,Hamburg,4.95673360235846,4.68527862450457,5.25642727181923,5.06510239093253,-0.0801300969671912
11,118,1-day,Hamburg,1.21992149821472,3.63834612895903,0,0,2.4184246307443
12,119,1-day,Hamburg,0.431036433852785,0.322405497218375,0.216628398610659,0.116831661372929,-0.00883419939668101
13,120,1-day,Hamburg,1.26281702850777,1.53364461744784,0.23260157177251,0,0.503429160712575
14,121,1-day,Hamburg,0.116654670259939,3.92274820670027,0,0,3.80609353644033
15,122,1-day,Hamburg,4.17786164915457,4.25202333989881,4.66257228588866,0,4.7367339766329
16,123,1-day,Hamburg,1.39640395322841,1.66577523902811,0.0665818108153598,0.0166502848594176,0.319302811755648
17,124,3-day,Hamburg,0.852632100823386,0.513123536723675,0,0,-0.339508564099711
18,125,1-day,Hamburg,4.24663811674564,4.4297408680138,4.13614072799659,4.19614462704659,0.123098852218153
19,126,1-day,Hamburg,4.01407876780238,3.73924103302184,4.36251929882183,0.100604754201571,3.98707680983971
21,127,1-day,Hamburg,2.70161273618659,5.28180476170233,2.95745293948171,0.353320648125314,5.18432431687214
22,128,1-day,Hamburg,5.84936714246203,5.65909304104943,6.28658593697927,5.87272007590154,0.22359175966513
23,129,1-day,Hamburg,2.79017502740938,0.049967333433195,2.13485800507414,0,-0.605349688902046
25,130,1-day,Hamburg,4.33588783506909,4.01487819194935,3.97270445428679,3.83599463948668,-0.184299828319633
26,131,3-day,Hamburg,5.52436375911043,5.10413455722519,2.82109903723291,3.40192406559399,-1.00105423024632
27,132,3-day,Hamburg,1.154510998252,0.485379543750761,0.581682170397659,0.534200238200159,-0.621649522303739
28,133,3-day,Hamburg,1.85060505655689,1.63149900095027,0.0499510383983444,0.0500892118350073,-0.219244229043285
29,134,3-day,Hamburg,0.681761714428562,0.0166916472926415,3.65344879898173,3.09796292082312,-0.109584188977312
30,135,3-day,Hamburg,1.40584988357075,3.02035065716459,2.50893373277999,2.8635272100744,1.25990729629943
31,136,3-day,Hamburg,5.09011217979032,4.83615337549723,2.94612066365704,1.60320821206306,1.0889536473009
32,137,1-day,Hamburg,5.87351546044036,5.37592001000803,0.701964658917399,0.0501513469628181,0.154217861522247
33,138,3-day,Hamburg,0.811548344688051,0.0208802336636166,1.3651164624579,1.43371901731982,-0.859270665886349
34,139,3-day,Hamburg,4.77664683529493,4.55089049174315,1.87505861859348,1.91716098490003,-0.267858709858331
35,140,3-day,Hamburg,0.0499470232981744,0.0584109536595704,0.734414538466807,0.0996907594184708,0.643187709409732
