oldSubID,newID,group,site,day,run,resp_rate_trial_mean,resp_rate_trial_std,resp_pairs_sum_std,RTs_first_resp_mean,RTs_first_resp_std,isCorrectResp_prop_mean,isCorrectResp_prop_std,resp_pairs_sum_slope,resp_pairs_sum_spearman_corr,resp_time_diff_mean,resp_time_diff_std,volatility,right_vs_left,sweet_vs_salty,post_reward_RT_mean,post_reward_RT_std,resp_time_diff_after_reward_mean,resp_time_diff_after_reward_std,run_burstiness
6,113,1-day,Hamburg,1,1,0.299580219990749,0.302872614665178,0.563000486381952,2.2893660582151,2.75600970031069,1,0,-0.148408636875077,-0.6,1.87092080129129,2.67521194714891,0.888808983990711,-4,-4,3.42373662665943,3.38557869236028,2.81792406817034,3.51962012964858,0.176917655150649
7,114,1-day,Hamburg,1,1,3.68587631863803,0.937501873167649,1.37913497080272,1.42654223668179,1.07091695734765,0.998931623931624,0.00370096326403605,0.231410952011244,0.371428571428571,0.231340601059041,0.168195058880234,0.0942245713487014,35,37,0.229864471209617,0.710333723892723,0.0200950208400551,0.110299023034904,-0.158047324707898
8,115,1-day,Hamburg,1,1,2.0578968599548,0.218720906999244,0.383170538934329,0.993819630025845,0.163719299860099,0.995822890559733,0.0097702483468385,0.192773591937368,0.942857142857143,0.471280392427571,0.206134237306555,0.130307839804382,-43,43,0.240889629825452,0.142809747352087,0.0352248562899823,0.106510679134417,-0.391408959126084
9,116,1-day,Hamburg,1,1,4.09121714782879,0.510771362225567,0.516131604490613,1.0808175076545,0.335997614454428,0.996616986587917,0.00632602995457273,-0.222948428004807,-0.828571428571429,0.238585620569071,0.175496905681462,0.0714494541734549,-99,-101,0.0946367911888552,0.0859876120220954,-0.011545764179293,0.135583032367748,-0.152357829389398
10,117,3-day,Hamburg,1,1,4.18166902985501,0.319548100507006,0.559048979548822,0.806054110361742,0.0978442624350559,0.995348955220781,0.00790372189623607,-0.193067905348982,-0.542857142857143,0.233317133865418,0.134098796790525,0.0592164346595152,-25,19,0.0750618097654723,0.0560493359456282,0.00429721452942999,0.0427092594113223,-0.270043644808104
11,118,1-day,Hamburg,1,1,3.7410109581782,0.368142593847038,0.573161849698452,0.851943678769355,0.141358085360845,0.995798410766564,0.00658924206915131,-0.201312259381238,-0.542857142857143,0.259331270324772,0.138807032890379,0.0680949049737327,-16,-14,0.106721576853397,0.0566643856239416,0.0150513996594672,0.0573467029784339,-0.302719523494987
12,119,1-day,Hamburg,1,1,0.164241651587099,0.0869581409812729,0.124979586779335,1.98060752423333,0.649275711073776,1,0,-0.0135825365129526,-0.0285714285714286,5.4681578219187,3.05052455773036,1.86353021782358,-3,2,2.83423739630225,2.01339845463233,0.158962362808,4.18990679081719,-0.283803663106869
13,120,1-day,Hamburg,1,1,1.40369146128131,0.878608150063862,1.25440311313392,3.4269954694183,5.52769385456683,0.995262933787524,0.0113904231958185,-0.569535667301866,-0.885714285714286,0.511711501437226,0.769729931295115,0.327449954185392,179,-178,1.1745531658823,2.87119096868669,1.23010612960643,2.72963264920181,0.201350154027509
14,121,1-day,Hamburg,1,1,1.70206446578559,1.61640418182195,2.96957267127222,2.33529133828429,3.01453626846188,0.999,0.00316227766016838,-1.49431427541851,-0.942857142857143,0.354731740123636,0.483393259443731,0.126312946096825,189,185,0.764983995676943,1.51218873723655,0.00830283293125181,0.0580492115382966,0.15351113424192
15,122,1-day,Hamburg,1,1,4.15457298199452,0.279074495979233,0.326552724169483,0.829249154544849,0.242525769225116,0.996311141872905,0.00577859929179589,-0.094101288607693,-0.6,0.232717670194964,0.143775495767367,0.0779582543233962,28,-24,0.0788962696764294,0.0321102844814313,-0.00666828062886192,0.0400850641239272,-0.236238483108341
16,123,1-day,Hamburg,1,1,1.96818553602435,1.09455195394423,1.80018405407332,1.30406443539096,0.494830524861649,0.992534891269068,0.0221742199108303,-0.637004392011876,-0.771428571428571,0.493029783881643,0.468202074238727,0.162368452837368,-16,-20,0.515541743360272,0.665326167187794,0.0880029426133717,0.528103893501312,-0.025829054075949
17,124,3-day,Hamburg,1,1,2.93676773017135,0.38469163282819,0.564195613825526,1.12620799286113,0.67945235147289,0.988190534834623,0.0297922425043403,-0.23233473123643,-0.771428571428571,0.320695862680466,0.17049404410812,0.0940548108012434,-50,56,0.16491262759655,0.101513722712884,0.0238811060869029,0.0797555060989538,-0.305791744692739
18,125,1-day,Hamburg,1,1,4.36089363936397,0.681855317325877,1.0351249306987,1.03435257958578,0.246778826124133,0.995032428413876,0.00915427933762173,-0.0955175274435091,-0.371428571428571,0.219033714874453,0.134784668526723,0.056143006202599,-9,-1,0.0903047575848177,0.0402427360898979,0.00782849355946032,0.090713806861848,-0.23811381855816
19,126,1-day,Hamburg,1,1,3.75789596190409,0.309637164334435,0.455408475292819,1.82842200151405,0.810566064057272,0.986093736504099,0.0226614180845231,0.0317054957282207,0.0857142857142857,0.246558643090063,0.139152829869827,0.0555303823656402,-36,-3,0.18408089812768,0.241371878963039,0.081157106812379,0.265917221620982,-0.278461546388599
21,127,1-day,Hamburg,1,1,4.07322885794847,0.526975048796421,0.627092821407992,1.14668656150631,0.277696722153635,0.996021571021571,0.00777397170928167,0.0959675758188329,0.0857142857142857,0.2402417444651,0.138639550465943,0.0752288087181919,-105,-107,0.125421148835033,0.186343116102249,0.0249655985018762,0.0883379821386784,-0.268163658007051
22,128,1-day,Hamburg,1,1,4.95129044716888,1.40539561223861,2.73101758423568,0.917738349936068,0.366293913199541,0.993609449008995,0.0076761500460429,0.71923332262624,0.0285714285714286,0.183635333746409,0.323502398234572,0.056906975782374,-74,76,0.670734972853097,2.10521316004231,1.19366129652138,3.51748103963906,0.275796998858307
23,129,1-day,Hamburg,1,1,0.603164205810106,0.528128465591335,0.727788649968739,2.843984385886,1.21591319837418,0.972222222222222,0.0962250448649376,0.279890755967612,0.771428571428571,0.954167859529453,2.27732765614075,0.302050834940295,-43,-45,1.1795477054287,1.16167157391367,2.45493423204562,6.65405910988503,0.409457413818158
25,130,1-day,Hamburg,1,1,3.95054915019741,0.329660784835827,0.239345113799459,0.827910098805736,0.290926592942761,0.994521142418386,0.00868022022878383,0.0508922710184048,0.2,0.248571312980653,0.147855014126676,0.08339051884647,65,-53,0.0775166424778916,0.0369301320542313,-0.00859577878547439,0.0584058961765724,-0.254060570570301
26,131,3-day,Hamburg,1,1,1.59252901967262,0.586650219309823,0.96824956337021,1.13559329727832,0.607360565258804,0.997200263504611,0.0070104732061241,0.502341014292523,0.942857142857143,0.59910828011887,0.512784818973834,0.197714881176625,-130,-130,0.437805811046322,0.549341240746222,0.127190685041645,0.570323272079676,-0.0776364753189633
27,132,3-day,Hamburg,1,1,3.89113922595647,0.380487357167518,0.534131189605816,1.33653754429088,0.241318638548611,0.992880535581917,0.011550155372351,-0.264067857071258,-0.828571428571429,0.242927467731839,0.130992595740329,0.0696001538982472,8,-22,0.0852789020720121,0.0427197985649891,-0.0135974645750981,0.0806850760420555,-0.299355083950561
28,133,3-day,Hamburg,1,1,3.37070519097874,0.383574552603612,0.563309045666648,0.778960347218875,0.15252368819065,0.994356831509328,0.00728666780259185,0.14687098224925,0.314285714285714,0.289297850616219,0.138751760293056,0.0798872076819039,-59,-57,0.116770291025902,0.0543731198104855,-0.00114922973493776,0.0442449154666877,-0.351702434685945
29,134,3-day,Hamburg,1,1,0.768127756726717,0.259379410523912,0.478383696351155,1.87837575115911,1.14756006445506,0.993434343434343,0.0155503073922633,-0.185769725661497,-0.657142857142857,1.25905480926507,0.642923942552208,0.360530805378458,-7,11,0.667530595423496,0.602286044887556,0.0608902048844388,0.680506876027217,-0.323942034643745
30,135,3-day,Hamburg,1,1,5.00116117929616,0.338135960621402,0.435502924359674,1.03087237519867,0.348924549239491,0.995377213023024,0.00663547944965425,0.0770114412737083,0.542857142857143,0.19277364585476,0.138100747993137,0.0631720731108834,0,-7,0.0553968488661797,0.028303322298703,-0.00288869277459785,0.0376025128621548,-0.165237621520981
31,136,3-day,Hamburg,1,1,4.46384556962881,0.639468834071891,0.931915203031068,1.13073817213043,0.49728850773416,0.996782025071503,0.00517743613045764,-0.199378515087504,-0.371428571428571,0.209780058905582,0.152576902327631,0.0591700255474069,51,53,0.105026028695278,0.163754528352308,0.0555877849447815,0.245432328326105,-0.157864102798717
32,137,1-day,Hamburg,1,1,5.22754912643391,0.276133627092352,0.313947428393382,1.05284772666827,0.397154505759956,0.995179694304591,0.00965735644480343,0.106551604937189,0.6,0.182500839378316,0.105467789214156,0.0441231058922868,-3,5,0.0569171141998843,0.0407079404261186,-0.00665999643347277,0.0638682382490998,-0.267505007544332
33,138,3-day,Hamburg,1,1,0.482940262615155,0.194503456611539,0.270040912481538,1.21796300709364,0.471982776352776,0.975757575757576,0.061209120838558,-0.13855274131595,-0.942857142857143,1.90862590199728,1.55688206374542,0.306625231469437,28,28,1.27554584375284,1.65210410670177,0.284143171755458,0.455985358664925,-0.101498493649106
34,139,3-day,Hamburg,1,1,1.96358412153955,0.370519799232692,0.681287352499914,1.56481250433664,1.63705706438028,0.991648966752672,0.0128954725447009,-0.156155499962748,-0.371428571428571,0.480670336900108,0.26682348861956,0.133593099443863,15,-14,0.176308755535336,0.110038285453975,0.00219678724264062,0.346436732729086,-0.286085103287481
