sub,group,block,trial,manipulation_stim,manipulation,blue,red,ice,rock,misses,non_manip_minus_manip
5049,extensive,11,33,red,devaluation,10,0,6,0,0,10.0
5050,extensive,2,21,,,6,4,3,5,0,
5050,extensive,11,33,blue,devaluation,3,5,5,3,0,2.0
5051,extensive,2,21,,,10,10,2,0,1,
5051,extensive,11,33,blue,devaluation,0,10,10,0,0,10.0
5052,extensive,2,21,,,7,8,0,0,0,
5052,extensive,11,33,blue,devaluation,0,10,0,0,0,10.0
5053,extensive,2,21,,,6,7,2,0,0,
5053,extensive,11,33,red,devaluation,10,0,2,0,0,10.0
5054,extensive,2,21,,,5,7,7,0,0,
5054,extensive,11,33,red,devaluation,10,0,3,0,1,10.0
5055,extensive,2,21,,,5,4,0,0,0,
5055,extensive,11,33,blue,devaluation,0,10,0,0,0,10.0
5056,extensive,2,21,,,7,8,1,0,0,
5056,extensive,11,33,blue,devaluation,0,10,0,0,0,10.0
5057,extensive,2,21,,,10,10,3,0,4,
5057,extensive,11,33,red,devaluation,10,0,10,0,0,10.0
5058,extensive,2,21,,,10,10,0,0,1,
5058,extensive,11,33,blue,devaluation,0,10,10,0,0,10.0
5059,extensive,2,21,,,2,2,1,0,0,
5059,extensive,11,33,red,devaluation,9,0,4,0,1,9.0
5060,extensive,2,21,,,3,1,5,0,0,
5060,extensive,11,33,blue,devaluation,1,10,0,0,1,9.0
5061,extensive,2,21,,,6,6,0,0,0,
5061,extensive,11,33,red,devaluation,7,0,3,0,0,7.0
5062,extensive,2,21,,,1,6,8,0,0,
5062,extensive,11,33,blue,devaluation,0,10,10,0,1,10.0
5063,extensive,2,21,,,6,8,8,0,1,
5063,extensive,11,33,red,devaluation,7,1,10,0,1,6.0
5064,extensive,2,21,,,8,8,8,0,0,
5064,extensive,11,33,blue,devaluation,0,10,10,0,0,10.0
5065,extensive,2,21,,,4,5,4,4,8,
5065,extensive,11,33,red,devaluation,5,0,4,3,0,5.0
5066,extensive,2,21,,,8,7,6,0,0,
5066,extensive,11,33,red,devaluation,10,1,6,0,0,9.0
5067,extensive,2,21,,,10,10,0,0,1,
5067,extensive,11,33,blue,devaluation,1,10,0,0,0,9.0
5068,extensive,2,21,,,7,2,3,1,0,
5068,extensive,11,33,red,devaluation,10,1,0,0,0,9.0
5069,extensive,2,21,,,1,2,2,2,0,
5069,extensive,11,33,red,devaluation,7,0,1,1,0,7.0
5070,extensive,2,21,,,9,6,0,0,0,
5070,extensive,11,33,red,devaluation,10,0,0,0,0,10.0
5071,extensive,2,21,,,9,5,6,0,0,
5071,extensive,11,33,red,devaluation,7,6,10,0,8,1.0
5072,extensive,2,21,,,8,7,1,0,1,
5072,extensive,11,33,red,devaluation,10,0,0,0,1,10.0
5073,extensive,2,21,,,7,8,5,0,0,
5073,extensive,11,33,red,devaluation,9,2,7,0,0,7.0
5074,extensive,2,21,,,5,7,5,0,1,
5074,extensive,11,33,blue,devaluation,0,8,0,0,3,8.0
5075,extensive,2,21,,,4,2,2,0,0,
