sub,group,block,trial,manipulation_stim,manipulation,blue,red,ice,rock,misses,non_manip_minus_manip
5244,extensive,2,21,,,9,10,1,0,0,
5244,extensive,11,33,blue,devaluation,0,10,0,0,0,10.0
5245,extensive,2,21,,,6,6,1,0,0,
5245,extensive,11,33,blue,devaluation,4,4,3,0,1,0.0
5246,extensive,2,21,,,8,6,0,0,0,
5246,extensive,11,33,blue,devaluation,0,10,0,0,0,10.0
5247,extensive,2,21,,,10,10,0,0,1,
5247,extensive,11,33,red,devaluation,9,0,5,0,1,9.0
5248,extensive,2,21,,,8,5,2,0,0,
5248,extensive,11,33,red,devaluation,10,0,4,0,2,10.0
5249,extensive,2,21,,,8,9,0,0,1,
5249,extensive,11,33,red,devaluation,10,0,9,0,0,10.0
5250,extensive,2,21,,,6,6,0,0,0,
5250,extensive,11,33,red,devaluation,10,0,0,0,0,10.0
5251,extensive,2,21,,,3,0,10,0,0,
5251,extensive,11,33,blue,devaluation,1,7,5,0,0,6.0
5252,extensive,2,21,,,1,7,0,0,0,
5252,extensive,11,33,red,devaluation,6,0,5,0,0,6.0
5253,extensive,2,21,,,7,10,0,0,0,
5253,extensive,11,33,blue,devaluation,0,10,0,0,0,10.0
5254,extensive,2,21,,,8,8,2,0,0,
5254,extensive,11,33,red,devaluation,10,0,8,0,1,10.0
5255,extensive,2,21,,,10,10,0,0,0,
5255,extensive,11,33,blue,devaluation,0,10,0,0,0,10.0
5256,extensive,2,21,,,10,10,10,0,2,
5256,extensive,11,33,red,devaluation,10,0,10,0,0,10.0
5257,extensive,2,21,,,7,9,0,0,1,
5257,extensive,11,33,red,devaluation,10,0,4,0,2,10.0
5258,extensive,2,21,,,10,7,0,0,1,
5258,extensive,11,33,red,devaluation,10,0,4,0,1,10.0
5259,extensive,2,21,,,10,10,0,0,0,
5259,extensive,11,33,red,devaluation,10,0,4,0,0,10.0
5260,extensive,2,21,,,7,9,10,0,4,
5260,extensive,11,33,blue,devaluation,0,10,10,0,0,10.0
5261,extensive,2,21,,,2,5,3,0,1,
5261,extensive,11,33,blue,devaluation,0,7,6,0,0,7.0
5262,extensive,2,21,,,5,10,0,0,0,
5262,extensive,11,33,blue,devaluation,0,10,5,0,2,10.0
5263,extensive,2,21,,,10,9,1,0,0,
5263,extensive,11,33,red,devaluation,10,0,0,0,0,10.0
5264,extensive,2,21,,,6,8,0,0,0,
5264,extensive,11,33,red,devaluation,9,0,2,0,0,9.0
5265,extensive,2,21,,,10,5,9,0,0,
5265,extensive,11,33,blue,devaluation,9,10,10,0,4,1.0
5266,extensive,2,21,,,9,9,0,0,0,
5266,extensive,11,33,red,devaluation,10,0,3,0,0,10.0
5267,extensive,2,21,,,10,10,6,0,0,
5267,extensive,11,33,blue,devaluation,0,10,10,0,0,10.0
5268,extensive,2,21,,,3,6,7,0,4,
5268,extensive,11,33,red,devaluation,5,0,10,0,0,5.0
5269,extensive,2,21,,,4,4,0,0,0,
5269,extensive,11,33,red,devaluation,10,0,0,0,0,10.0
5270,extensive,2,21,,,8,8,0,0,1,
5270,extensive,11,33,red,devaluation,10,0,6,0,0,10.0
5271,extensive,2,21,,,10,10,10,0,0,
5271,extensive,11,33,red,devaluation,10,1,10,0,1,9.0
5272,extensive,2,21,,,4,7,6,0,0,
5272,extensive,11,33,blue,devaluation,1,7,9,0,0,6.0
5273,extensive,2,21,,,10,10,10,0,2,
5273,extensive,11,33,red,devaluation,10,0,10,0,0,10.0
5274,extensive,2,21,,,3,6,10,0,1,
5274,extensive,11,33,blue,devaluation,0,6,9,0,2,6.0
5275,extensive,2,21,,,5,5,1,0,0,
5275,extensive,11,33,red,devaluation,7,0,5,0,0,7.0
5276,extensive,2,21,,,2,7,7,0,0,
5276,extensive,11,33,blue,devaluation,0,10,6,0,0,10.0
5277,extensive,2,21,,,1,2,0,0,0,
5277,extensive,11,33,blue,devaluation,0,10,0,0,0,10.0
5278,extensive,2,21,,,4,4,5,1,0,
5278,extensive,11,33,red,devaluation,9,0,7,0,0,9.0
5279,extensive,2,21,,,4,3,0,0,0,
5279,extensive,11,33,red,devaluation,6,0,0,0,1,6.0
5280,extensive,2,21,,,4,6,0,0,0,
5280,extensive,11,33,red,devaluation,8,0,0,0,0,8.0
5281,extensive,2,21,,,5,7,6,0,1,
5281,extensive,11,33,blue,devaluation,0,10,7,0,1,10.0
5282,extensive,2,21,,,10,10,1,0,2,
5282,extensive,11,33,blue,devaluation,0,10,9,0,0,10.0
5283,extensive,2,21,,,10,9,9,0,17,
5283,extensive,11,33,blue,devaluation,0,11,10,2,2,11.0
5284,extensive,2,21,,,3,3,3,0,0,
5284,extensive,11,33,red,devaluation,3,0,4,0,0,3.0
5285,extensive,2,21,,,7,4,10,0,4,
5285,extensive,11,33,blue,devaluation,9,10,3,0,5,1.0
5286,extensive,2,21,,,10,10,1,0,0,
5286,extensive,11,33,blue,devaluation,0,10,5,0,1,10.0
5287,extensive,2,21,,,10,10,10,0,0,
5287,extensive,11,33,blue,devaluation,0,10,10,0,0,10.0
5288,extensive,2,21,,,4,6,3,0,1,
5288,extensive,11,33,red,devaluation,10,0,2,0,0,10.0
5289,extensive,2,21,,,7,7,0,0,0,
5289,extensive,11,33,red,devaluation,10,0,2,0,0,10.0
5290,extensive,2,21,,,7,8,0,0,1,
5290,extensive,11,33,red,devaluation,10,0,0,0,0,10.0
5291,extensive,2,21,,,10,10,10,0,0,
5291,extensive,11,33,blue,devaluation,0,10,11,0,0,10.0
5292,extensive,2,21,,,5,7,0,0,0,
5292,extensive,11,33,red,devaluation,10,0,3,0,0,10.0
5293,extensive,2,21,,,10,10,0,0,0,
5293,extensive,11,33,blue,devaluation,0,10,0,0,0,10.0
5294,extensive,2,21,,,4,4,5,0,0,
5294,extensive,11,33,red,devaluation,10,0,0,0,0,10.0
5295,extensive,2,21,,,10,11,2,0,0,
5295,extensive,11,33,blue,devaluation,0,12,5,0,0,12.0
5296,extensive,2,21,,,2,7,6,0,0,
5296,extensive,11,33,red,devaluation,6,3,7,0,0,3.0
5297,extensive,2,21,,,5,5,2,2,8,
5297,extensive,11,33,blue,devaluation,0,10,5,4,1,10.0
5298,extensive,2,21,,,3,8,5,0,1,
5298,extensive,11,33,blue,devaluation,0,9,5,0,2,9.0
5299,extensive,2,21,,,4,5,0,0,0,
5299,extensive,11,33,red,devaluation,9,0,0,0,0,9.0
5300,extensive,2,21,,,2,2,7,0,0,
5300,extensive,11,33,blue,devaluation,0,7,0,0,0,7.0
5301,extensive,2,21,,,5,4,3,0,0,
5301,extensive,11,33,red,devaluation,10,0,0,0,0,10.0
5302,extensive,2,21,,,4,9,4,0,0,
5302,extensive,11,33,blue,devaluation,0,10,3,0,0,10.0
