ID,BIS11_1,BIS11_2,BIS11_3,BIS11_4,BIS11_5,BIS11_6,BIS11_7,BIS11_8,BIS11_9,BIS11_10,BIS11_11,BIS11_12,BIS11_13,BIS11_14,BIS11_15,BIS11_16,BIS11_17,BIS11_18,BIS11_19,BIS11_20,BIS11_21,BIS11_22,BIS11_23,BIS11_24,BIS11_25,BIS11_26,BIS11_27,BIS11_28,BIS11_29,BIS11_30
346,3,2,4,3,1,2,4,4,4,4,2,3,3,2,3,2,1,2,2,3,1,1,2,2,3,2,3,2,4,3
347,3,2,1,1,3,4,3,2,2,4,2,4,3,1,3,1,2,2,1,2,1,2,1,2,2,3,1,3,3,4
348,3,2,2,2,1,3,3,4,3,3,1,3,2,2,3,4,2,2,2,2,1,1,1,1,2,2,2,2,4,3
349,3,3,4,2,2,2,3,3,1,2,1,2,3,3,1,1,3,4,3,2,1,2,1,1,2,4,3,1,1,2
350,3,2,2,3,3,2,3,3,3,3,1,3,3,2,3,2,2,2,2,3,3,2,2,2,2,3,2,2,2,3
351,2,3,3,3,2,3,1,2,3,2,1,2,2,2,4,3,2,1,2,3,2,3,1,3,3,3,2,1,4,3
352,3,1,2,1,1,4,4,3,4,4,1,3,4,1,2,2,2,3,2,3,3,3,3,2,4,2,2,1,2,4
353,3,1,2,1,2,1,4,3,3,4,2,4,4,2,3,3,2,2,2,3,1,2,2,2,1,2,1,2,3,4
354,3,1,2,2,1,2,3,3,3,2,1,4,3,1,3,2,1,1,1,3,1,1,1,2,2,2,2,1,3,3
355,3,2,2,1,2,3,3,3,2,2,1,3,3,2,4,3,3,1,2,3,1,2,3,1,3,3,1,2,4,4
356,4,1,2,2,2,3,4,4,3,4,2,2,3,1,2,2,1,3,1,3,1,1,1,2,1,3,2,1,1,3
357,2,3,3,2,3,2,1,2,4,2,2,2,1,1,2,2,3,2,3,1,2,1,4,2,1,3,3,3,2,2
358,2,1,2,1,3,2,3,3,2,3,3,2,2,1,2,1,2,2,2,3,2,2,3,1,3,3,2,2,1,3
359,2,1,1,3,1,1,4,4,4,3,1,4,4,1,2,1,1,1,1,3,1,1,1,1,1,1,2,1,1,4
360,4,1,2,1,2,3,3,4,3,3,2,3,2,2,2,2,2,2,1,3,1,1,1,1,3,3,2,2,3,4
361,3,1,2,1,1,2,2,4,1,2,4,3,3,2,4,2,2,1,2,4,2,1,3,2,4,3,4,4,4,2
362,1,2,2,1,2,3,2,2,2,3,2,2,2,3,3,2,3,1,2,3,1,3,2,3,2,3,2,2,3,3
363,3,2,4,3,2,3,2,4,4,2,1,2,2,1,4,1,2,1,1,4,1,3,1,2,2,3,2,1,4,4
364,2,2,3,2,3,1,4,3,3,2,1,2,4,2,1,2,3,3,3,3,2,1,2,1,3,3,2,1,1,4
365,3,1,2,1,1,1,4,4,3,2,2,4,4,1,3,1,1,2,1,3,1,1,2,1,3,1,1,2,2,4
366,2,2,2,1,2,3,3,3,2,1,1,3,4,1,4,2,2,2,2,4,2,3,2,1,4,1,2,2,4,3
367,2,1,2,1,1,4,4,3,2,3,1,2,2,2,2,4,2,3,2,4,4,3,1,1,3,4,1,2,1,4
368,3,2,4,1,2,2,4,4,4,4,1,3,4,3,4,3,1,1,2,3,1,2,3,1,2,3,1,2,4,4
