ID,TICS_1,TICS_2,TICS_3,TICS_4,TICS_5,TICS_6,TICS_7,TICS_8,TICS_9,TICS_10,TICS_11,TICS_12,TICS_13,TICS_14,TICS_15,TICS_16,TICS_17,TICS_18,TICS_19,TICS_20,TICS_21,TICS_22,TICS_23,TICS_24,TICS_25,TICS_26,TICS_27,TICS_28,TICS_29,TICS_30,TICS_31,TICS_32,TICS_33,TICS_34,TICS_35,TICS_36,TICS_37,TICS_38,TICS_39,TICS_40,TICS_41,TICS_42,TICS_43,TICS_44,TICS_45,TICS_46,TICS_47,TICS_48,TICS_49,TICS_50,TICS_51,TICS_52,TICS_53,TICS_54,TICS_55,TICS_56,TICS_57
309,0,1,0,2,2,1,1,1,2,1,2,1,1,0,0,1,0,1,0,1,0,0,0,0,2,1,0,0,1,1,0,0,0,2,1,2,1,0,1,1,1,1,2,0,0,0,2,0,1,1,1,0,1,2,0,1,1
310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311,1,1,1,1,1,1,1,0,1,1,2,2,2,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0
312,4,2,0,4,4,2,3,3,1,1,1,4,2,1,3,1,1,0,3,4,1,4,4,2,3,1,4,3,3,4,1,4,1,1,2,0,1,4,4,4,0,1,3,4,2,0,3,0,0,4,3,1,0,4,2,3,3
313,4,0,0,2,1,1,0,0,1,0,0,0,2,0,0,2,2,0,2,1,0,0,3,0,2,1,2,1,0,0,0,2,0,0,1,2,0,3,2,0,0,0,2,2,0,1,2,1,0,3,0,0,0,3,1,0,0
314,3,2,1,2,0,1,1,0,0,0,0,0,1,1,1,0,1,1,2,2,1,3,3,1,1,0,1,2,0,2,1,1,0,0,2,1,0,2,3,3,1,0,2,1,0,1,2,1,1,2,1,0,1,2,1,0,1
315,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
316,2,2,1,2,2,2,3,3,1,1,2,3,1,3,2,1,2,1,3,1,1,3,4,1,1,2,2,3,1,1,1,1,2,2,1,1,1,2,2,4,2,1,3,2,1,1,2,0,3,2,1,1,1,0,1,2,3
317,3,2,1,2,2,2,1,1,2,2,3,1,2,1,0,2,0,1,1,1,2,2,1,0,1,0,1,1,2,0,1,0,0,2,0,0,0,0,1,1,1,2,0,0,0,2,0,2,0,0,2,0,1,0,0,2,0
318,1,1,2,2,0,0,1,3,2,0,1,0,1,3,0,1,0,0,0,0,0,3,2,0,1,1,0,0,0,2,0,1,1,0,0,0,0,1,1,1,0,1,2,0,0,1,1,0,0,1,0,0,1,0,0,1,0
319,3,1,1,4,2,0,0,0,2,3,0,1,4,0,0,1,0,1,0,0,1,3,3,2,2,0,4,0,0,0,1,0,0,0,3,1,2,3,0,0,2,0,0,0,0,0,3,2,0,3,0,0,2,0,0,0,0
320,3,0,2,0,3,1,0,1,3,4,2,2,3,1,0,2,0,0,0,1,3,3,2,1,2,0,1,0,2,1,0,2,0,2,1,2,1,0,0,1,3,2,1,0,0,0,1,2,0,0,1,1,3,0,1,2,1
321,3,3,2,3,0,1,0,0,1,0,0,0,2,0,0,3,0,1,1,2,0,0,1,0,2,0,3,0,1,0,0,2,0,0,2,1,0,2,0,0,0,1,3,2,0,1,1,2,0,2,2,0,1,1,2,0,0
322,2,1,0,1,1,1,3,2,0,0,0,2,1,1,0,0,0,1,0,0,0,2,2,0,0,1,2,0,0,1,1,1,1,0,0,0,0,1,4,3,0,0,2,0,0,2,0,1,2,0,1,0,0,0,0,0,0
323,3,0,2,4,2,2,0,1,1,2,4,3,3,0,2,1,1,0,1,1,2,4,3,1,2,0,3,1,3,2,0,1,2,3,3,0,1,3,1,1,1,3,4,2,0,0,1,1,0,2,3,2,2,2,1,3,1
324,1,2,1,1,2,2,0,1,4,3,4,2,3,1,2,4,0,2,1,2,4,3,4,3,4,1,2,1,4,2,2,2,1,4,3,4,0,1,3,4,3,4,4,3,1,3,3,3,2,1,4,1,4,2,2,4,4
325,2,2,0,1,1,2,2,1,0,1,2,3,2,2,1,3,2,0,3,0,1,3,4,0,2,0,4,3,1,0,1,3,0,2,0,1,0,2,4,3,1,3,4,3,0,3,0,3,1,2,4,0,1,1,0,2,3
326,2,1,2,4,1,3,0,2,4,3,4,3,4,2,1,4,1,2,2,4,2,2,3,4,4,1,4,2,3,2,1,2,0,3,4,4,2,4,2,2,1,3,1,4,1,1,4,2,0,4,1,0,4,4,4,1,2
327,2,3,0,3,2,4,0,3,4,2,1,2,3,1,3,2,2,1,3,2,1,3,3,0,2,4,3,4,1,2,2,3,0,0,4,3,3,3,4,3,2,2,2,0,3,4,2,4,0,3,2,2,3,3,1,2,4
328,4,2,1,2,2,2,2,2,2,2,2,4,3,3,1,4,0,0,0,2,3,1,1,2,2,3,3,0,1,0,1,3,2,2,2,2,1,3,2,2,2,2,3,3,2,1,2,1,1,3,2,2,3,3,2,1,1
329,3,1,0,3,1,0,2,0,0,1,0,0,1,1,0,0,0,0,0,1,0,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,2,0,0,0,0,1,1,1,1,0,1,0,1,0,0
330,2,1,0,1,2,1,1,1,1,1,0,0,1,1,0,1,0,1,2,0,1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,1,2,1,0,1,2,1,0,2,0,2,1,1,0,0,1,1,0,0,1
331,3,1,1,3,1,2,2,3,1,1,0,1,3,0,0,1,0,0,0,0,1,3,2,0,1,0,3,0,1,2,0,0,0,1,1,1,0,1,0,0,0,0,4,0,0,2,0,2,2,1,0,0,2,2,0,1,0
332,1,4,3,3,3,3,3,3,3,3,4,2,1,2,1,2,0,1,1,2,2,2,4,1,3,2,1,1,3,3,3,3,3,4,3,2,2,2,0,0,3,3,3,3,3,3,3,3,3,4,1,2,2,2,2,4,0
333,3,1,1,3,2,2,3,1,0,1,1,1,1,2,1,2,1,0,2,2,1,3,2,2,2,1,4,2,1,1,0,2,1,0,1,2,1,4,1,2,0,0,3,4,0,1,2,1,0,4,0,1,2,4,1,0,0
334,2,1,0,0,1,1,0,0,1,1,0,0,2,1,0,1,0,0,1,0,2,2,2,0,1,1,3,1,1,4,0,1,1,0,0,1,0,0,1,1,1,0,2,0,0,0,0,2,1,0,0,1,1,0,0,0,1
335,2,2,1,1,2,2,1,0,1,3,1,1,2,1,1,1,1,1,1,0,0,0,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,0,1,1
336,3,1,1,4,2,1,4,3,1,1,2,0,1,4,0,3,4,1,3,1,1,4,4,3,3,1,4,2,3,1,1,3,0,2,0,2,0,3,3,3,0,1,4,4,0,2,1,0,4,3,1,0,1,4,0,0,2
337,2,1,1,3,3,0,1,1,1,2,3,2,4,2,0,1,0,1,1,0,1,1,1,0,1,0,2,0,1,0,1,1,0,1,1,1,0,1,2,1,0,1,1,1,0,1,0,0,0,2,1,0,2,1,0,0,1
338,2,0,1,1,2,1,1,1,1,0,0,0,1,0,0,0,0,2,1,1,1,1,1,0,0,3,2,2,1,2,1,1,2,0,2,1,0,0,0,0,1,1,1,1,2,2,1,1,0,1,1,0,1,1,1,0,0
339,2,2,2,2,1,2,1,2,2,1,1,2,2,2,1,2,2,3,3,1,2,0,2,0,1,1,2,2,2,0,0,1,2,1,1,2,1,2,2,1,1,1,2,0,0,0,1,1,1,3,2,0,0,3,4,2,1
340,3,1,1,1,1,2,0,1,2,1,2,2,1,1,2,2,1,0,1,2,1,1,2,2,2,2,1,1,1,1,1,1,2,2,2,2,1,2,1,1,1,2,1,1,1,1,2,1,1,2,2,1,1,2,1,2,1
341,2,2,1,1,2,1,1,1,2,0,1,2,1,2,0,3,0,0,4,1,0,1,2,1,2,0,1,1,1,0,0,1,0,0,2,2,0,1,2,2,0,1,3,2,0,0,1,0,0,1,1,0,1,1,0,1,0
342,1,0,2,4,2,2,2,1,1,2,3,1,1,0,1,1,0,0,1,1,1,1,2,0,2,1,3,1,1,2,1,1,2,3,2,2,1,1,1,1,0,2,2,1,0,0,2,1,1,1,2,1,0,1,0,2,0
343,3,3,1,1,4,4,4,2,4,2,1,1,1,0,4,0,0,0,2,2,1,3,3,0,0,3,3,3,2,2,2,2,1,0,0,0,0,0,1,2,1,1,1,1,3,1,0,1,0,0,1,1,1,0,0,0,3
344,2,1,0,1,3,1,4,0,1,2,0,1,3,3,0,1,1,0,2,1,0,3,3,2,0,0,1,2,1,0,2,1,0,0,0,0,0,0,3,2,1,1,3,2,0,2,0,4,3,1,0,0,1,1,0,0,2
345,2,2,2,1,2,1,2,1,0,0,1,2,1,1,0,0,0,0,1,1,0,2,2,0,2,0,0,0,0,0,0,1,2,0,0,0,0,0,2,2,1,0,3,1,1,1,0,2,0,0,2,0,0,1,0,0,0
346,3,1,1,1,1,1,2,0,1,1,1,0,2,2,1,1,0,0,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,2,1,1,1,1,0,0,0,0,2,2,1,1,1,0,0,0,0,0
347,0,1,2,3,1,2,2,2,3,3,4,3,3,0,2,3,0,2,0,4,2,3,2,0,3,1,2,0,2,1,3,3,0,4,4,2,0,2,0,2,3,3,1,1,0,2,2,3,1,2,3,0,2,1,3,3,0
348,2,1,1,1,2,3,2,2,1,2,0,2,2,3,3,2,1,1,1,1,2,2,2,1,3,1,2,1,1,2,1,1,2,1,1,2,1,1,1,2,2,2,2,2,1,2,1,3,2,1,2,2,2,1,1,3,1
349,3,1,1,4,3,2,0,0,0,3,2,1,3,0,0,0,0,0,1,2,4,1,0,0,0,0,4,0,1,0,0,0,1,1,0,0,2,2,0,0,2,0,0,3,0,0,3,2,0,4,0,0,2,3,2,1,0
350,1,2,1,1,2,1,2,1,0,1,1,1,2,2,1,1,0,2,2,2,2,3,2,1,1,0,3,2,1,0,1,1,0,2,1,1,0,3,3,1,3,1,3,1,2,2,1,3,3,2,1,0,2,1,1,1,1
351,4,3,0,3,1,0,0,0,3,0,3,3,1,0,0,3,3,0,2,1,4,1,3,4,4,4,2,3,2,0,1,0,1,3,2,3,0,4,3,1,3,4,4,3,1,0,3,0,0,3,3,0,2,3,3,0,2
352,3,1,0,1,4,3,1,1,4,4,2,0,3,4,1,2,1,2,4,0,4,3,3,1,4,1,1,3,2,2,2,1,3,3,1,3,3,3,3,3,4,2,3,1,0,2,1,4,1,1,3,2,3,1,1,0,4
353,3,1,3,2,1,1,0,1,1,1,1,3,2,3,0,1,0,0,0,2,2,3,3,1,2,0,3,1,2,1,0,1,1,1,3,2,0,1,1,1,1,0,2,2,1,0,3,3,1,3,0,1,2,3,1,0,0
354,1,1,1,2,0,0,0,0,1,0,1,1,2,3,0,1,0,0,0,1,0,2,2,1,1,1,2,0,1,2,0,2,0,1,1,1,0,1,1,1,0,1,2,2,0,0,1,1,1,1,1,0,0,1,0,0,0
355,4,3,2,3,1,2,2,2,1,3,3,2,3,4,1,1,2,3,2,2,4,4,4,3,4,1,2,2,0,3,3,4,4,1,3,2,2,2,4,3,4,1,3,4,0,4,3,3,0,3,0,1,4,2,3,4,4
356,3,0,0,2,3,3,1,3,2,3,4,2,4,1,1,3,2,1,1,2,3,2,1,1,3,1,3,3,4,1,1,2,3,4,1,1,1,2,3,1,3,3,3,2,2,4,1,1,1,3,4,2,3,2,3,4,4
357,1,1,1,0,1,1,0,3,1,0,2,1,1,2,2,1,0,0,1,0,0,2,2,0,1,0,0,0,3,0,0,1,1,3,1,1,2,0,1,1,2,4,2,0,1,0,0,4,2,0,3,2,2,0,0,4,1
358,2,1,2,4,2,1,1,0,0,2,1,1,3,1,1,2,1,1,0,3,2,3,1,1,2,1,2,1,3,0,3,3,0,1,3,2,0,1,2,2,1,3,2,2,0,1,3,1,2,3,1,0,3,3,3,2,1
359,3,2,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,2,0,1,0,3,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
360,3,2,0,3,2,2,0,2,2,1,1,4,2,4,1,2,0,1,4,1,1,3,3,0,2,1,4,3,0,1,2,2,0,1,1,0,0,2,3,3,1,1,3,2,0,1,1,1,1,3,2,0,0,3,1,0,2
361,1,3,0,4,2,1,0,1,2,4,1,2,4,2,1,1,0,1,0,0,3,0,2,0,2,0,1,0,4,1,0,0,0,3,0,1,3,4,1,1,3,2,0,2,0,4,0,4,1,0,2,0,2,1,4,2,0
362,2,2,3,3,2,3,2,3,3,0,2,3,2,0,0,3,3,2,3,2,1,1,1,3,3,1,1,2,2,1,2,1,0,0,2,2,0,0,1,1,1,2,1,1,0,1,3,2,0,3,2,1,1,3,2,1,0
363,1,0,0,1,1,2,1,1,0,0,1,2,2,2,0,0,0,0,1,0,0,2,2,0,0,1,1,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0
364,3,2,1,2,2,1,0,1,0,2,0,1,2,1,1,0,0,0,0,1,1,2,2,0,0,1,3,0,2,2,0,1,1,0,1,0,0,3,2,1,0,2,2,0,0,1,0,2,0,3,1,0,0,4,1,0,0
365,3,0,0,3,0,0,1,1,1,2,0,0,2,2,0,1,1,0,0,1,0,1,3,2,1,0,3,1,0,2,1,0,0,0,2,1,0,3,0,0,1,2,1,3,0,3,2,0,0,4,2,0,2,4,1,0,0
366,2,0,0,2,1,0,2,0,1,0,0,0,1,1,0,2,2,0,3,0,0,2,2,0,1,0,1,2,1,1,0,0,0,0,0,0,0,1,4,4,2,1,4,0,1,0,1,1,4,1,0,1,0,0,0,1,1
367,2,1,1,0,3,2,0,0,2,1,2,2,3,0,3,3,0,0,2,1,0,1,0,0,2,3,2,2,0,2,1,1,4,1,0,0,0,0,2,1,0,2,3,2,1,2,0,3,0,1,0,1,2,2,1,1,2
368,3,2,1,3,3,3,2,1,3,1,3,4,4,1,3,0,1,1,4,0,3,4,4,2,3,2,4,2,3,1,1,3,1,4,1,0,1,1,3,3,1,2,3,2,1,2,4,3,1,3,4,2,3,4,1,4,3
