ID,BIS11_1,BIS11_2,BIS11_3,BIS11_4,BIS11_5,BIS11_6,BIS11_7,BIS11_8,BIS11_9,BIS11_10,BIS11_11,BIS11_12,BIS11_13,BIS11_14,BIS11_15,BIS11_16,BIS11_17,BIS11_18,BIS11_19,BIS11_20,BIS11_21,BIS11_22,BIS11_23,BIS11_24,BIS11_25,BIS11_26,BIS11_27,BIS11_28,BIS11_29,BIS11_30
2,3,2,2,3,2,1,3,3,2,4,1,4,4,2,3,2,2,1,2,3,1,2,1,1,1,1,1,1,3,4
3,3,2,3,2,1,2,3,3,3,3,1,4,3,2,4,2,2,1,3,4,1,2,1,1,1,2,3,1,2,3
5,3,1,2,4,2,2,2,2,1,1,3,3,3,3,2,1,2,2,2,2,1,2,2,1,2,2,2,2,2,3
8,3,2,3,1,1,3,3,4,3,3,1,4,3,1,4,1,2,1,2,3,1,2,1,2,2,2,3,1,4,3
9,4,1,2,1,1,1,3,4,3,4,2,4,4,2,3,1,2,2,2,3,1,3,1,2,1,2,1,1,4,4
13,1,3,1,4,3,1,1,2,2,3,2,2,1,2,3,1,3,4,2,2,1,3,3,3,2,4,4,2,4,1
16,2,2,2,1,3,3,3,2,3,3,2,3,3,2,3,1,2,2,2,3,2,3,2,1,1,3,2,2,4,4
18,3,2,1,1,3,2,4,2,2,3,2,3,3,3,3,3,2,2,2,2,1,1,2,3,1,2,1,3,3,3
20,3,2,2,3,2,3,2,3,2,3,1,3,3,2,3,3,2,1,2,3,2,2,3,2,1,3,2,1,4,3
22,4,2,1,1,1,2,4,4,4,4,1,4,4,1,4,4,1,1,1,4,4,1,4,1,1,1,1,1,3,4
23,4,2,3,3,2,3,4,3,3,2,2,3,3,2,3,2,3,2,3,3,2,3,3,3,2,2,2,2,3,4
28,3,3,2,3,1,3,2,3,4,4,1,3,4,3,4,1,2,1,3,2,1,3,3,2,1,1,1,1,4,4
29,4,1,2,1,1,2,3,3,3,3,1,3,3,2,3,2,1,1,2,3,2,2,1,2,1,2,2,1,2,3
30,3,2,2,3,2,3,3,3,2,4,4,3,3,2,4,2,2,3,2,3,2,2,2,1,1,4,2,4,3,4
31,2,2,1,4,3,3,2,1,2,2,3,2,1,3,4,2,2,2,2,2,1,4,2,3,3,3,3,2,2,2
102,4,1,2,1,1,2,4,3,3,3,2,4,4,2,4,1,1,1,2,4,2,3,3,3,1,2,1,1,2,4
106,3,2,2,3,2,2,1,3,2,1,3,3,3,2,3,1,3,1,2,3,1,4,2,1,4,1,1,2,1,3
107,4,2,3,4,2,2,3,3,3,3,1,3,2,1,2,1,1,2,1,3,1,2,1,1,1,3,3,1,3,2
108,3,1,3,2,2,1,4,3,3,3,2,3,3,1,2,2,1,1,1,2,1,3,2,1,2,3,2,2,3,3
110,3,1,2,2,1,2,3,3,2,3,2,3,3,2,1,1,2,2,2,3,1,2,1,2,1,2,3,1,3,2
111,3,1,3,2,2,2,3,3,3,3,2,3,3,2,3,1,1,1,1,3,1,1,1,2,1,2,2,1,3,3
118,2,1,3,3,2,2,3,3,2,2,3,3,3,1,2,1,2,1,1,3,1,3,4,1,1,3,2,1,2,3
120,3,2,4,2,2,1,4,3,4,3,4,3,2,1,3,1,1,4,2,4,1,2,1,4,1,4,1,4,3,4
124,3,2,1,4,3,3,4,4,3,4,3,4,1,2,1,1,4,4,4,4,2,4,2,2,1,1,3,1,2,4
126,3,2,2,2,3,3,3,3,2,2,2,3,3,2,3,1,2,3,3,2,1,3,4,2,3,3,3,3,2,3
128,3,3,3,3,3,3,3,3,2,3,2,3,2,2,3,3,3,3,3,3,3,1,3,3,2,3,2,2,2,3
130,3,2,3,3,2,2,3,3,3,2,2,2,3,3,3,3,3,3,3,3,2,3,4,3,3,3,2,2,2,3
131,4,1,4,1,1,3,3,4,4,4,1,4,4,1,3,1,1,1,2,4,1,1,1,2,1,1,1,1,3,4
132,3,3,1,2,4,4,1,2,1,3,4,3,3,1,3,1,1,2,3,,1,1,2,2,2,4,1,3,4,4
133,4,1,2,4,2,1,4,3,3,3,1,4,3,2,3,1,3,3,2,3,3,3,3,2,1,3,1,2,2,3
